名稱,來源平台,提供機關,格式,資源數,授權,最後更新,ODPortal,原始網址,分級,資源總數,已探測資源,最大記錄數,檔案類欄位,實際型態,合併筆數,合併來源,分級未涵蓋新增資源
桃園市原住民族低收入戶戶數按戶長性別分每年統計,政府開放資料平臺;桃園市政府,主計處,CSV,1,OGDL-1.0,2026/8/7 下午 06:26:14,https://odportal.tw/dataset/vgQb7VZd,https://opendata.tycg.gov.tw/datalist/34fbe42f-ec33-4443-88c2-1a68e82c93ba,真資料,1,1,15.0,,text,2,DjjVo9xb;vgQb7VZd,False
原住民族經濟戶長平均儲蓄金額依性別,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:58:38,https://odportal.tw/dataset/DrR06gpM,https://data.gov.tw/dataset/145219,真資料,3,2,2.0,,json;text,1,DrR06gpM,False
10411-01-39-2 臺中市高級中等學校原住民學生數-專業群科(職業科),政府開放資料平臺;臺中市政府,臺中市政府教育局,CSV;JSON;XML,21,OGDL-1.0,2026/8/7 上午 06:11:02,https://odportal.tw/dataset/Mgpk0B_m,https://opendata.taichung.gov.tw/search/d170a7d2-2990-47a9-81c8-a0ab6c21b80b,真資料,21,3,270.0,,json,2,Dspn8Hom;Mgpk0B_m,True
109年外交、國際經濟商務、民航人員及原住民族考試(第一試),政府開放資料平臺,,ZIP,1,OGDL-1.0,2023/12/21 上午 10:38:28,https://odportal.tw/dataset/DzEmmfs8,https://data.gov.tw/dataset/164795,二進位,1,1,,,zip,1,DzEmmfs8,False
10411-01-45-2 臺中市國小原住民學生統計,政府開放資料平臺;臺中市政府,臺中市政府教育局,CSV;JSON;XML,20,OGDL-1.0,2026/8/11 上午 02:17:11,https://odportal.tw/dataset/E-cBbfmQ,https://opendata.taichung.gov.tw/search/540d22ea-4d9f-4b70-b30c-c425704925f5,真資料,20,3,238.0,,json,2,E-cBbfmQ;_4eov1Vf,True
原住民族家庭支出情形,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:59:49,https://odportal.tw/dataset/E0c6GYpB,https://data.gov.tw/dataset/145184,真資料,3,2,21.0,,json;text,1,E0c6GYpB,False
臺北市各區原住民人口數按年齡分,臺北市政府,民政局,CSV,1,,2026/8/4 下午 05:25:44,https://odportal.tw/dataset/E5VadYla,https://data.taipei/dataset/detail?id=91d3835b-97ec-4f7b-9e44-a3e0d4ef8b9d,網址無效,1,2,,,,1,E5VadYla,False
10730-09-02-2 臺中市原住民住宅輔導業務統計,政府開放資料平臺;臺中市政府,臺中市政府原住民族事務委員會,CSV;JSON;XML,25,OGDL-1.0,2026/8/11 上午 06:18:53,https://odportal.tw/dataset/EDGIcgh8,https://opendata.taichung.gov.tw/search/fc6c77bb-7656-4f8b-83f3-1b5a498152c8,真資料,25,2,29.0,,json,2,EDGIcgh8;pw4iNZz3,True
臺北市各區區公所原住民服務窗口,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/12 下午 03:31:05,https://odportal.tw/dataset/EE_YMadY,https://data.gov.tw/dataset/132889,真資料,1,1,12.0,,text,1,EE_YMadY,False
彰化縣現住原住民戶口數,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/4/22 下午 06:05:34,https://odportal.tw/dataset/EJsq2sFV,https://data.gov.tw/dataset/27618,真資料,1,1,78.0,,text,1,EJsq2sFV,False
臺北市政府暨所屬機關進用原住民人數,臺北市政府,主計處,CSV,1,,2026/3/15 上午 11:49:51,https://odportal.tw/dataset/EQ_tQqNm,https://data.taipei/dataset/detail?id=ee10185c-8dfe-49dc-ac6c-52d2be4333be,網址無效,1,1,,,,1,EQ_tQqNm,False
原住民族委員會優先採購身心障礙福利機構團體庇護工場生產物品及服務明細、統計表,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:11:19,https://odportal.tw/dataset/EiIcOA7s,https://data.gov.tw/dataset/129535,真資料,3,2,361.0,,json;text,1,EiIcOA7s,False
高雄市原住民學生數,高雄市政府,主計處,,0,OGDL-1.0,2025/7/16 上午 11:11:12,https://odportal.tw/dataset/EsVg8DYY,https://data.kcg.gov.tw/DataSet/Detail/00dd3b96-e179-4135-b83b-0c1d5df0c6ca,無資源,0,0,,,,1,EsVg8DYY,False
現住原住民族年齡分配,新北市政府,新北市政府主計處/公務統計科,XLSX,1,OGDL-1.0,2025/12/8 下午 01:51:37,https://odportal.tw/dataset/EsayEoNe,https://data.ntpc.gov.tw/datasets/b019f3d1-a1a7-4433-a683-f86a9c5427c6,HTML殼,1,1,,,html,1,EsayEoNe,False
直轄市原住民區代表,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/22 上午 10:13:01,https://odportal.tw/dataset/F2oXHWUc,https://data.gov.tw/dataset/10050,連結殼,1,1,1.0,連結網址,text,1,F2oXHWUc,False
原住民族委員會公告金額以上未達查核金額採購案件,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:01:42,https://odportal.tw/dataset/F421Md6a,https://data.gov.tw/dataset/145154,真資料,3,2,361.0,,json;text,1,F421Md6a,False
原住民族教育調查統計之各級學校原住民畢業生人數,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:07:12,https://odportal.tw/dataset/F5DfUxqW,https://data.gov.tw/dataset/170578,真資料,3,2,21.0,,json;text,1,F5DfUxqW,False
原住民身心障礙者機構式服務生活資材費用補助計畫執行情形統計表依縣市別統計,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:00:44,https://odportal.tw/dataset/F9okvRZM,https://data.gov.tw/dataset/145172,真資料,3,2,32.0,,json;text,1,F9okvRZM,False
前瞻基礎建設-優化原住民族通路經營平台計畫核定一覽表,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:53:25,https://odportal.tw/dataset/FDm6Dgil,https://data.gov.tw/dataset/166810,真資料,3,2,9.0,,json;text,1,FDm6Dgil,False
115年5月基隆市原住民人口按性別及族別,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/6/2 上午 11:09:59,https://odportal.tw/dataset/FGpauwaV,https://data.gov.tw/dataset/177515,真資料,1,1,98.0,,text,1,FGpauwaV,False
原住民嬰兒出生數按性別、出生月份及原住民身分分(按發生),政府開放資料平臺,,CSV,2,OGDL-1.0,2026/6/4 下午 03:24:39,https://odportal.tw/dataset/FPPhyZUg,https://data.gov.tw/dataset/169057,真資料,2,2,6250.0,,text,1,FPPhyZUg,False
國民中小學原住民學生及畢業生人數—按年級別、等級別與性別分,政府開放資料平臺,,CSV;JSON,6,OGDL-1.0,2026/5/7 上午 09:34:26,https://odportal.tw/dataset/FRDjz7yt,https://data.gov.tw/dataset/33510,真資料,6,2,88.0,,text,1,FRDjz7yt,False
桃園市原住民族綜合發展基金貸款統計,政府開放資料平臺;桃園市政府,原住民族行政局,CSV,1,OGDL-1.0,2026/7/3 上午 10:11:24,https://odportal.tw/dataset/FS1z3xVC,https://opendata.tycg.gov.tw/datalist/6cd306d1-10ba-4f7f-92b6-5558c07b8e33,真資料,1,1,8.0,,text,2,FS1z3xVC;Yqgfjfqn,False
原住民族家庭收入狀況,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:48:52,https://odportal.tw/dataset/Fi_nptUq,https://data.gov.tw/dataset/93930,真資料,3,2,10.0,,json;text,1,Fi_nptUq,False
原住民族委員會資料開放諮詢小組會議紀錄,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/5/21 下午 04:15:06,https://odportal.tw/dataset/Frfz80c9,https://data.gov.tw/dataset/79104,真資料,3,2,21.0,,json;text,1,Frfz80c9,False
30220-02-02-2 臺中市原住民學前教育及兒童托育補助情形,政府開放資料平臺;臺中市政府,臺中市政府原住民族事務委員會,CSV;JSON;XML,32,OGDL-1.0,2026/8/7 上午 01:14:43,https://odportal.tw/dataset/m30FZzQ6,https://opendata.taichung.gov.tw/search/02d6a2e2-8f18-4a43-b4f6-62f9f145bfc5,真資料,32,3,12.0,,json,2,Fu5aYA8p;m30FZzQ6,True
原住民族委員會查核金額以上未達巨額採購案件,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:01:57,https://odportal.tw/dataset/G124LbMl,https://data.gov.tw/dataset/145153,真資料,3,2,117.0,,json;text,1,G124LbMl,False
原住民族委員會職員性別一覽表,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:15:43,https://odportal.tw/dataset/G2qisWBI,https://data.gov.tw/dataset/156659,真資料,3,2,176.0,,json;text,1,G2qisWBI,False
111年現住原住民人口數按性別、年齡及原住民身分分,政府開放資料平臺,,CSV;JSON,24,OGDL-1.0,2025/12/30 下午 12:02:29,https://odportal.tw/dataset/G3gfGLPf,https://data.gov.tw/dataset/164021,真資料,24,2,344.0,,json;text,1,G3gfGLPf,False
現住原住民族年齡分配,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/8 下午 01:51:37,https://odportal.tw/dataset/G4hhSJu2,https://data.gov.tw/dataset/123322,真資料,1,1,1504.0,,text,1,G4hhSJu2,False
高雄市原住民族產業工坊名單,高雄市政府,原民會,,0,OGDL-1.0,2025/4/10 下午 03:43:50,https://odportal.tw/dataset/GGVgq9ZH,https://data.kcg.gov.tw/DataSet/Detail/f9ef9658-ba9f-41d2-b2f6-c3531611607d,無資源,0,0,,,,1,GGVgq9ZH,False
高雄市原住民五歲年齡組統計,高雄市政府,民政局,,0,OGDL-1.0,2026/6/5 上午 11:06:54,https://odportal.tw/dataset/GKm3_A43,https://data.kcg.gov.tw/DataSet/Detail/29bdcfdf-df92-4de6-b11b-9d67039f7409,無資源,0,0,,,,1,GKm3_A43,False
現住原住民族戶口數(民國100年以前),新北市政府,新北市政府主計處/公務統計科,XLSX,1,OGDL-1.0,2025/6/26 上午 09:04:31,https://odportal.tw/dataset/GMhkP8kq,https://data.ntpc.gov.tw/datasets/273611d8-ff47-4f62-8262-02ba17b57487,HTML殼,1,1,,,html,1,GMhkP8kq,False
10730-05-18-2 臺中市原住民身心障礙者障礙成因,政府開放資料平臺;臺中市政府,臺中市政府社會局,CSV;JSON;XML,18,OGDL-1.0,2026/8/11 上午 07:48:33,https://odportal.tw/dataset/Gh_Tu0aM,https://opendata.taichung.gov.tw/search/65cc8ec7-d904-4a08-9316-9db6428fae35,真資料,18,4,504.0,,json;text;xml,2,Gh_Tu0aM;WhK8aZSs,False
10730-05-18-2 臺中市原住民身心障礙者致殘成因,政府開放資料平臺;臺中市政府,臺中市政府社會局,CSV;JSON;XML,21,OGDL-1.0,2026/8/11 上午 08:09:34,https://odportal.tw/dataset/SqBQtytm,https://opendata.taichung.gov.tw/search/cfe5e6b7-10bb-4908-9686-5ef03a77d4fa,真資料,21,3,393.0,,json;xml,2,Gp9frIjx;SqBQtytm,False
原住民族就業者從事非典型就業工作的原因－按行業及職業分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:14:47,https://odportal.tw/dataset/GqsF-mH9,https://data.gov.tw/dataset/174801,真資料,3,2,29.0,,json;text,1,GqsF-mH9,False
111年現住原住民人口數按性別、年齡及原住民身分分,臺南市政府,臺南市政府民政局,CSV;JSON,24,OGDL-1.0,2026/5/4 上午 10:51:51,https://odportal.tw/dataset/Gst8YERe,https://data.tainan.gov.tw/DataSet/Detail/81da8f23-a987-46de-999a-d1744ca43532,真資料,24,2,344.0,,html;text,1,Gst8YERe,False
桃園市15歲以上原住民族婚姻狀況每年統計,政府開放資料平臺;桃園市政府,主計處,CSV,1,OGDL-1.0,2026/8/5 上午 10:15:00,https://odportal.tw/dataset/Gvhp9v4s,https://opendata.tycg.gov.tw/datalist/d17b43fa-2b40-4f02-9c3c-cf9815e90527,真資料,1,1,19.0,,text,2,Gvhp9v4s;Ib9_d6hD,False
106年外交、民航人員(第二試)、原住民族考試(第三試),政府開放資料平臺,,ZIP,1,OGDL-1.0,2023/12/25 上午 09:28:36,https://odportal.tw/dataset/H5fj2YR3,https://data.gov.tw/dataset/164848,二進位,1,1,,,zip,1,H5fj2YR3,False
原住民且身心障礙退除役官兵人數按縣市及性別分,政府開放資料平臺,,CSV,2,OGDL-1.0,2026/5/27 下午 03:16:04,https://odportal.tw/dataset/HA_FC5ME,https://data.gov.tw/dataset/172158,真資料,2,2,308.0,,text,1,HA_FC5ME,False
臺南市原住民場館資訊,臺南市政府,臺南市政府原住民族事務委員會,CSV;JSON,2,OGDL-1.0,2025/11/17 下午 03:55:34,https://odportal.tw/dataset/HClM4Br7,https://data.tainan.gov.tw/DataSet/Detail/a6657ea0-fbdc-443e-8db4-cb797aaa4ae2,真資料,2,2,3.0,,html;text,1,HClM4Br7,False
原住民族委員會原住民族文化發展中心AED緊急救護系統位置,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/3 上午 12:48:05,https://odportal.tw/dataset/HI5uQFvF,https://data.gov.tw/dataset/137787,真資料,3,2,25.0,,json;text,1,HI5uQFvF,False
原住民族就業者的第一份工作的職業-按人口特性分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/3 上午 12:46:31,https://odportal.tw/dataset/HL6JInaG,https://data.gov.tw/dataset/161537,真資料,3,2,304.0,,json;text,1,HL6JInaG,False
原住民族委員會職員族別一覽表,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:15:50,https://odportal.tw/dataset/HMTnj4HX,https://data.gov.tw/dataset/156662,真資料,3,2,1408.0,,json;text,1,HMTnj4HX,False
112年現住人口數按性別及原住民身分分,臺南市政府,臺南市政府民政局,CSV;JSON,24,OGDL-1.0,2026/5/4 上午 10:51:51,https://odportal.tw/dataset/HQJaYjYU,https://data.tainan.gov.tw/DataSet/Detail/6a96ed5c-0876-42a5-baa7-54ef2c302ef0,真資料,24,2,114.0,,html;text,1,HQJaYjYU,False
桃園市原住民族文化健康站資訊,政府開放資料平臺;桃園市政府,原住民族行政局,CSV,1,OGDL-1.0,2026/7/3 上午 10:12:23,https://odportal.tw/dataset/VXD5G6dl,https://opendata.tycg.gov.tw/datalist/7d7bcba6-5747-4734-a288-6bc9e43f1767,真資料,1,1,38.0,,text,2,HRFzjORT;VXD5G6dl,False
高雄市原住民年齡分組統計,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/6/16 下午 03:22:11,https://odportal.tw/dataset/HSkjhe2r,https://data.gov.tw/dataset/157257,真資料,1,1,1000.0,,json,1,HSkjhe2r,False
全國原住民族運動會各縣市獎牌統計,政府開放資料平臺,,CSV,2,OGDL-1.0,2025/11/7 下午 05:33:54,https://odportal.tw/dataset/HY-X-snB,https://data.gov.tw/dataset/41366,真資料,2,2,22.0,,text,1,HY-X-snB,False
109年3月法務部及所屬機關原住民人員進用情形表,政府開放資料平臺,,JSON,1,OGDL-1.0,2024/7/1 下午 04:38:21,https://odportal.tw/dataset/H_awOxt-,https://data.gov.tw/dataset/132642,失效,1,1,,,json,1,H_awOxt-,False
10122-00-06-2 臺中市各區 現住原住民人口數按性別、年齡及原住民身分分,政府開放資料平臺;臺中市政府,臺中市政府民政局,CSV;JSON;XML,138,OGDL-1.0,2026/8/7 上午 11:33:59,https://odportal.tw/dataset/f9fY54rn,https://opendata.taichung.gov.tw/search/9253ff74-9d8a-4323-a8e3-ec3080e911d9,真資料,138,2,558.0,,json,2,HaK9uIP5;f9fY54rn,False
原住民族委員會工程查核案件,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:52:17,https://odportal.tw/dataset/Hk5RakbX,https://data.gov.tw/dataset/164515,真資料,3,2,268.0,,json;text,1,Hk5RakbX,False
桃園市都會區各區原住民族服務員資訊,政府開放資料平臺;桃園市政府,原住民族行政局,CSV,1,OGDL-1.0,2026/7/2 下午 04:47:31,https://odportal.tw/dataset/Hkvx95Jo,https://opendata.tycg.gov.tw/datalist/c9d8a18a-cbaa-4e23-812d-cfc34c18508d,真資料,1,1,12.0,,text,2,Hkvx95Jo;V5uEredg,False
臺北市原住民婚姻狀況,臺北市政府,主計處,CSV,1,,2026/3/18 上午 09:34:26,https://odportal.tw/dataset/Ht9WekU5,https://data.taipei/dataset/detail?id=8026aa56-da30-4462-b282-fa5d514c1489,網址無效,1,1,,,,1,Ht9WekU5,False
臺北市原住民團體名單,臺北市政府,原民會,CSV,1,,2026/6/17 上午 11:57:26,https://odportal.tw/dataset/HzBqp1x1,https://data.taipei/dataset/detail?id=a955716f-54ba-425f-ac74-0600cfe50f21,網址無效,1,1,,,,1,HzBqp1x1,False
高雄市原住民人數,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/6/30 下午 09:45:51,https://odportal.tw/dataset/HzG2XB49,https://data.gov.tw/dataset/155834,真資料,1,1,14.0,,json,1,HzG2XB49,False
新北市原住民族別人數排行榜統計表,新北市政府,新北市政府原住民族行政局/秘書室,XLSX,1,OGDL-1.0,2025/12/1 上午 11:40:17,https://odportal.tw/dataset/I27m3u9z,https://data.ntpc.gov.tw/datasets/22ecd1e6-842b-419b-b78a-c60482af298a,HTML殼,1,1,,,html,1,I27m3u9z,False
臺灣原住民族文化園區志工人數統計表,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/5/21 下午 04:14:15,https://odportal.tw/dataset/ILqBFQ0j,https://data.gov.tw/dataset/161516,真資料,3,2,16.0,,json;text,1,ILqBFQ0j,False
臺北市原住民族部落大學社區教室,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/1/29 上午 10:54:34,https://odportal.tw/dataset/ISaWhcSU,https://data.gov.tw/dataset/135905,真資料,1,1,8.0,,text,1,ISaWhcSU,False
原住民族文化健康站通訊錄,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:00:58,https://odportal.tw/dataset/IX_i64lS,https://data.gov.tw/dataset/157725,真資料,3,2,525.0,,json;text,1,IX_i64lS,False
原住民族就業者目前場所工作年資狀況-按行業及職業分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:08:55,https://odportal.tw/dataset/IXoPHTNW,https://data.gov.tw/dataset/161531,真資料,3,2,232.0,,json;text,1,IXoPHTNW,False
111年現住原住民人口數按性別、原住民身分及族別分,政府開放資料平臺,,CSV;JSON,24,OGDL-1.0,2025/8/19 下午 03:13:43,https://odportal.tw/dataset/IaPVBsfe,https://data.gov.tw/dataset/148477,真資料,24,2,342.0,,json;text,1,IaPVBsfe,False
臺北市原住民長青樂活服務,臺北市政府,原民會,CSV,1,,2026/2/11 上午 10:59:30,https://odportal.tw/dataset/IiunXFco,https://data.taipei/dataset/detail?id=dbcc8ff5-76ed-4fef-aa5e-dccb178963d0,網址無效,1,1,,,,1,IiunXFco,False
定額進用身心障礙者實際進用人數－按原住民、性別、年齡及地區別分,政府開放資料平臺,,CSV;JSON;WEBSERVICES,3,OGDL-1.0,2026/6/12 下午 02:18:13,https://odportal.tw/dataset/IjHNc1en,https://data.gov.tw/dataset/146537,真資料,3,2,330.0,,json;text,1,IjHNc1en,False
推動原住民族特色農業升級計畫核定單位一覽表,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:02:39,https://odportal.tw/dataset/Im3j97O7,https://data.gov.tw/dataset/165268,真資料,3,2,62.0,,json;text,1,Im3j97O7,False
桃園市各區原住民族別人數每月統計(114年11月起),政府開放資料平臺;桃園市政府,民政局,CSV,3,OGDL-1.0,2026/7/29 下午 03:14:51,https://odportal.tw/dataset/RUM1hSqQ,https://opendata.tycg.gov.tw/datalist/9e577627-278a-4234-a18f-2c2bbd315d65,真資料,3,2,26.0,,text,2,Imroe22P;RUM1hSqQ,False
原住民族企業科技應用需求項目-按縣市別分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:12:36,https://odportal.tw/dataset/IuTs24nM,https://data.gov.tw/dataset/174315,真資料,3,2,105.0,,json;text,1,IuTs24nM,False
114年澎湖縣馬公市各里現住人口數按性別及原住民身分分統計資料,澎湖縣政府,馬公戶政事務所,CSV;JSON;XML,3,UNKNOWN,2026/1/14 上午 07:36:42,https://odportal.tw/dataset/IyxxYUH_,http://opendata.penghu.gov.tw/dataset/376561501a-2025-02-08-1738979610,真資料,3,2,1224.0,,json;text,1,IyxxYUH_,False
全國原住民保留地所有權人分佈統計表,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:12:56,https://odportal.tw/dataset/JCeHBRSj,https://data.gov.tw/dataset/170601,真資料,3,2,520.0,,json;text,1,JCeHBRSj,False
原住民保留地違規超限利用處理執行成果,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:55:33,https://odportal.tw/dataset/JLaZ3Min,https://data.gov.tw/dataset/145451,真資料,3,2,131.0,,json;text,1,JLaZ3Min,False
高雄市原住民五歲年齡組統計,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/5/15 下午 01:02:16,https://odportal.tw/dataset/JOgn08ca,https://data.gov.tw/dataset/157264,真資料,1,1,861.0,,json,1,JOgn08ca,False
115年5月基隆市原住民人口按性別及年齡資料,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/6/2 上午 10:32:05,https://odportal.tw/dataset/JcVxnhZE,https://data.gov.tw/dataset/177513,真資料,1,1,98.0,,text,1,JcVxnhZE,False
桃園市原住民身心障礙人數按障礙等級別、身心障礙類別分-每年統計,政府開放資料平臺;桃園市政府,主計處,CSV,1,OGDL-1.0,2026/7/6 上午 10:18:24,https://odportal.tw/dataset/dp9Wf9jY,https://opendata.tycg.gov.tw/datalist/b90bfcb7-5d18-4a7f-a305-b7b977fc63b5,真資料,1,1,12.0,,text,2,K0osQ96X;dp9Wf9jY,False
原住民族家庭服務中心通訊錄,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:09:25,https://odportal.tw/dataset/K1MVhHbz,https://data.gov.tw/dataset/157664,真資料,3,2,197.0,,json;text,1,K1MVhHbz,False
臺北市補助原住民民俗文化及社會教育活動,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/6/17 下午 04:29:07,https://odportal.tw/dataset/KUf6u_zT,https://data.gov.tw/dataset/134700,真資料,1,1,9.0,,text,1,KUf6u_zT,False
澎湖縣現住人口數按性別及原住民身分,政府開放資料平臺;澎湖縣政府,民政處,CSV;JSON;XML,3,OGDL-1.0,2026/7/4 上午 12:00:04,https://odportal.tw/dataset/KYPs5WQn,http://opendata.penghu.gov.tw/dataset/u600000-03-2017-05-31-1496199680,真資料,3,2,126.0,,json;text,2,KYPs5WQn;MYcBnJlt,False
原住民族委員會獎助儲蓄互助社計畫,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/3 上午 12:47:12,https://odportal.tw/dataset/K_ycH2Z8,https://data.gov.tw/dataset/176013,真資料,3,2,40.0,,json;text,1,K_ycH2Z8,False
112年現住人口數按性別及原住民身分分,政府開放資料平臺,,CSV;JSON,18,OGDL-1.0,2025/6/10 上午 11:46:12,https://odportal.tw/dataset/KfI8OPwb,https://data.gov.tw/dataset/161429,真資料,18,2,114.0,,json;text,1,KfI8OPwb,False
臺北市各區原住民人口數,臺北市政府,民政局,CSV,1,,2026/8/4 下午 05:25:48,https://odportal.tw/dataset/KhL4nEod,https://data.taipei/dataset/detail?id=9c6946fb-0c1a-44d5-b128-0d8c1fbddba4,網址無效,1,2,,,,1,KhL4nEod,False
補助經濟弱勢原住民建購及修繕住宅核定戶數,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:11:00,https://odportal.tw/dataset/Kk0wuSKd,https://data.gov.tw/dataset/129522,真資料,3,2,28.0,,json;text,1,Kk0wuSKd,False
補助辦理原住民族傳統智慧創作保護人才培育計畫彙整表,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:52:31,https://odportal.tw/dataset/KkgYfMgv,https://data.gov.tw/dataset/137777,真資料,3,2,16.0,,json;text,1,KkgYfMgv,False
原住民族委員會單位預算補助地方政府明細表-決算,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:54:29,https://odportal.tw/dataset/KqhpO9D5,https://data.gov.tw/dataset/112709,連結殼,3,2,8.0,檔案pdf,json;text,1,KqhpO9D5,False
原住民族家庭自有住宅率狀況－依家庭基本特徵分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:00:25,https://odportal.tw/dataset/LBH1VjZX,https://data.gov.tw/dataset/145185,真資料,3,2,22.0,,json;text,1,LBH1VjZX,False
原住民教育調查統計之各級學校原住民學生族籍分布,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:11:55,https://odportal.tw/dataset/LJiHYqsT,https://data.gov.tw/dataset/170581,真資料,3,2,34.0,,json;text,1,LJiHYqsT,False
高雄市原民會原住民部落工場,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/6/30 下午 12:43:30,https://odportal.tw/dataset/LK9sXkGx,https://data.gov.tw/dataset/46838,真資料,1,1,22.0,,json,1,LK9sXkGx,False
各年度公費留學考試原住民生報名及錄取人數,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/4/14 下午 03:21:42,https://odportal.tw/dataset/LLhKlrdL,https://data.gov.tw/dataset/46731,真資料,1,1,14.0,,text,1,LLhKlrdL,False
109年現住原住民人口數按性別、原住民身分及族別分,臺南市政府,臺南市政府民政局,CSV;JSON,24,OGDL-1.0,2026/5/4 上午 10:51:51,https://odportal.tw/dataset/LUf8sEa3,https://data.tainan.gov.tw/DataSet/Detail/c10a8822-fa20-4f5b-bc25-2f2d5aa9def8,真資料,24,2,342.0,,html;text,1,LUf8sEa3,False
現住原住民族婚姻現況,新北市政府,新北市政府主計處/公務統計科,XLSX,1,OGDL-1.0,2025/12/8 下午 02:01:20,https://odportal.tw/dataset/LVH24d0X,https://data.ntpc.gov.tw/datasets/3e6a60fa-9713-4eaf-9add-4f5c0fba0ba1,HTML殼,1,1,,,html,1,LVH24d0X,False
新竹縣原住民部落文化健康站,新竹縣政府,葛承辦女士,CSV;JSON;XLSX;XML,4,,2024/10/14 上午 12:00:00,https://odportal.tw/dataset/LX_TCZDP,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=1&s=1000,真資料,4,2,25.0,,json;zip,1,LX_TCZDP,False
新竹縣原住民族家庭服務中心,政府開放資料平臺,,CSV;JSON;XLSX;XML,4,OGDL-1.0,2024/10/14 下午 01:27:55,https://odportal.tw/dataset/LYs6XVq-,https://data.gov.tw/dataset/112014,二進位,4,2,3.0,網址,json;zip,1,LYs6XVq-,False
原住民族就業者的職業-按人口特性分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:14:32,https://odportal.tw/dataset/LZi5RG3x,https://data.gov.tw/dataset/161540,真資料,3,2,304.0,,json;text,1,LZi5RG3x,False
桃園市政府所屬機關學校原住民族人員進用情形(原住民族地區),政府開放資料平臺;桃園市政府,人事處,CSV;JSON;XML,6,OGDL-1.0,2026/8/5 上午 10:08:18,https://odportal.tw/dataset/LcTJW_WJ,https://opendata.tycg.gov.tw/datalist/7841456c-abba-4158-98b4-a82129ba343d,真資料,6,2,3.0,,text,2,LcTJW_WJ;oVzlfvSp,True
原住民族就失業情形-按地區別分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:13:36,https://odportal.tw/dataset/LmZW3bwh,https://data.gov.tw/dataset/161526,真資料,3,2,416.0,,json;text,1,LmZW3bwh,False
