名稱,來源平台,提供機關,格式,資源數,授權,最後更新,ODPortal,原始網址,分級,資源總數,已探測資源,最大記錄數,檔案類欄位,實際型態,合併筆數,合併來源,分級未涵蓋新增資源
原住民族委員會原住民族文化發展中心會計報表,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/3 上午 12:34:48,https://odportal.tw/dataset/4G-JuiRt,https://data.gov.tw/dataset/138006,連結殼,3,2,132.0,檔案,json;text,1,4G-JuiRt,False
臺灣原住民族文化園區特展藝術家資料表,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:10:53,https://odportal.tw/dataset/4RSTSGr9,https://data.gov.tw/dataset/161515,真資料,3,2,15.0,,json;text,1,4RSTSGr9,False
30439-90-02-2 臺中市政府所屬各機關、學校原住民人員進用情形,政府開放資料平臺;臺中市政府,臺中市政府人事處,CSV;JSON;XML,17,OGDL-1.0,2026/8/7 上午 10:37:15,https://odportal.tw/dataset/8YlIoO1C,https://opendata.taichung.gov.tw/search/1e2b70f1-a8f9-460e-aa36-413b35b01276,真資料,17,3,6.0,,json,2,4ZtdJm2z;8YlIoO1C,True
新北市各區原住民人數統計表,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/1 上午 11:40:03,https://odportal.tw/dataset/4d73Hz2n,https://data.gov.tw/dataset/124962,真資料,1,1,29.0,,text,1,4d73Hz2n,False
原住民族委員會勞務採購案件,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:11:06,https://odportal.tw/dataset/4euRsk9s,https://data.gov.tw/dataset/129534,真資料,3,2,837.0,,json;text,1,4euRsk9s,False
臺灣原住民族取用傳統姓名指引,政府開放資料平臺,,ZIP,1,OGDL-1.0,2026/6/22 下午 11:46:18,https://odportal.tw/dataset/4i2zTrRH,https://data.gov.tw/dataset/175638,二進位,1,1,,,zip,1,4i2zTrRH,False
原住民族相關法規,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:45:10,https://odportal.tw/dataset/4jViH6_o,https://data.gov.tw/dataset/91509,真資料,3,2,169.0,,json;text,1,4jViH6_o,False
113年現住原住民人口數按性別、年齡及原住民身分分,臺南市政府,臺南市政府民政局,CSV;JSON,24,OGDL-1.0,2026/5/4 上午 10:51:51,https://odportal.tw/dataset/4lWLB31N,https://data.tainan.gov.tw/DataSet/Detail/b78a3060-a72a-4716-ba97-075e070f2bdd,真資料,24,2,344.0,,html;text,1,4lWLB31N,False
10122-00-04-2 臺中市各區 現住人口數按性別及原住民身分分,政府開放資料平臺;臺中市政府,臺中市政府民政局,CSV;JSON;XML,141,OGDL-1.0,2026/8/11 上午 05:14:26,https://odportal.tw/dataset/wO-n7TA1,https://opendata.taichung.gov.tw/search/e2e6d229-38d5-4b4c-9c60-9babca373fce,真資料,141,2,232.0,,json,2,4mY7XkgB;wO-n7TA1,False
原住民族人口統計-依行政區(縣市),政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/5/21 下午 04:00:24,https://odportal.tw/dataset/4qwiJMty,https://data.gov.tw/dataset/176081,真資料,3,2,22.0,,json;text,1,4qwiJMty,False
原住民族人口統計-依族群別,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/5/21 下午 04:02:35,https://odportal.tw/dataset/4xOTjK7m,https://data.gov.tw/dataset/176082,真資料,3,2,17.0,,json;text,1,4xOTjK7m,False
澎湖縣西嶼鄉原住民人口年齡層統計(113年起),澎湖縣政府,西嶼戶政事務所,CSV;JSON;XML,3,UNKNOWN,2026/7/1 上午 03:02:38,https://odportal.tw/dataset/5NFGk4xK,http://opendata.penghu.gov.tw/dataset/376561504a-2025-03-21-1742542706,真資料,3,2,42.0,,json;text,1,5NFGk4xK,False
推動原住民族友善耕作加值推廣計畫核定單位一覽表,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:50:15,https://odportal.tw/dataset/5Nc5VLHZ,https://data.gov.tw/dataset/150965,真資料,3,2,149.0,,json;text,1,5Nc5VLHZ,False
臺北市經濟弱勢原住民家庭建購或修繕住宅補助統計,臺北市政府,原民會,CSV,1,,2025/10/9 上午 11:18:11,https://odportal.tw/dataset/5OmQmfau,https://data.taipei/dataset/detail?id=46f7b6fc-c4f7-431d-afb4-be9b58af2d1c,網址無效,1,1,,,,1,5OmQmfau,False
原住民族部落大學辦理情形,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:51:34,https://odportal.tw/dataset/5SpDpKT5,https://data.gov.tw/dataset/137694,真資料,3,2,45.0,,json;text,1,5SpDpKT5,False
新原住民族音樂專輯介紹,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/3 上午 12:18:11,https://odportal.tw/dataset/5ifQBRro,https://data.gov.tw/dataset/112699,真資料,3,2,36.0,,json;text,1,5ifQBRro,False
原住民族人口統計表-依總計性別,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/5/21 下午 04:00:08,https://odportal.tw/dataset/5jY-dV1j,https://data.gov.tw/dataset/176083,真資料,3,2,3.0,,json;text,1,5jY-dV1j,False
原住民性別概況─按區域別分,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/15 下午 09:29:43,https://odportal.tw/dataset/5vhYv5aw,https://data.gov.tw/dataset/9607,真資料,1,1,299.0,,text,1,5vhYv5aw,False
原住民族就業者從事非典型就業工作的原因-按人口特性分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:14:39,https://odportal.tw/dataset/60Yy3bL0,https://data.gov.tw/dataset/174799,真資料,3,2,38.0,,json;text,1,60Yy3bL0,False
臺南市原住民場館資訊,政府開放資料平臺,,CSV;JSON,2,OGDL-1.0,2025/6/10 上午 11:51:19,https://odportal.tw/dataset/63bTrzwi,https://data.gov.tw/dataset/143072,真資料,2,2,3.0,,json;text,1,63bTrzwi,False
