名稱,來源平台,提供機關,格式,資源數,授權,最後更新,ODPortal,原始網址,分級,資源總數,已探測資源,與其他資料集共用資源,最大記錄數,檔案類欄位,實際型態
高雄市原民會族語學習教室,政府開放資料平臺,,JSON;CSV,2,OGDL-1.0,2025/6/30 下午 02:27:01,https://odportal.tw/dataset/pzQc_x08,https://data.gov.tw/dataset/46833,真資料,2,2,,10,,json;text
高雄市原住民人口數統計,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/5/23 下午 07:12:13,https://odportal.tw/dataset/vwsNDX7c,https://data.gov.tw/dataset/157263,真資料,1,1,,1572,,json
高雄市原住民人數,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/6/30 下午 09:45:51,https://odportal.tw/dataset/HzG2XB49,https://data.gov.tw/dataset/155834,真資料,1,1,,14,,json
高雄市原住民中輟生人數,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/7/16 上午 10:52:59,https://odportal.tw/dataset/CgveK0P6,https://data.gov.tw/dataset/127114,真資料,1,1,,12,,json
高雄市原住民五歲年齡組統計,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/5/15 下午 01:02:16,https://odportal.tw/dataset/JOgn08ca,https://data.gov.tw/dataset/157264,真資料,1,1,,861,,json
高雄市原住民戶口數年終統計,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/6/30 下午 09:37:55,https://odportal.tw/dataset/YcWoOZxq,https://data.gov.tw/dataset/157259,真資料,1,1,,1654,,json
高雄市原住民戶數,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/6/30 下午 09:45:53,https://odportal.tw/dataset/sI1QNigq,https://data.gov.tw/dataset/155835,真資料,1,1,,14,,json
高雄市原住民年齡分組統計,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/6/16 下午 03:22:11,https://odportal.tw/dataset/HSkjhe2r,https://data.gov.tw/dataset/157257,真資料,1,1,,1000,,json
高雄市原住民族別統計,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/6/16 下午 03:22:32,https://odportal.tw/dataset/ko-Cfojn,https://data.gov.tw/dataset/157260,真資料,1,1,,1000,,json
高雄市原住民族產業工坊名單,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/6/30 下午 02:27:05,https://odportal.tw/dataset/-VZdojf-,https://data.gov.tw/dataset/128098,真資料,1,1,,56,,json
高雄市原住民部落大學教育參與人次,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/9/5 下午 04:37:00,https://odportal.tw/dataset/km2-_F3b,https://data.gov.tw/dataset/104322,真資料,1,1,,12,,json
高雄市原住民就業服務站求職登記人數,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/9/5 下午 04:34:44,https://odportal.tw/dataset/sV0KoJqn,https://data.gov.tw/dataset/104323,真資料,1,1,,12,,json
高雄市原住民進用情形,政府開放資料平臺,,JSON;CSV,2,OGDL-1.0,2026/7/15 下午 12:37:52,https://odportal.tw/dataset/VVBkyt22,https://data.gov.tw/dataset/46852,真資料,2,2,,12,,json;text
高雄市原住民學生數,政府開放資料平臺,,JSON,1,OGDL-1.0,2026/7/24 上午 08:59:09,https://odportal.tw/dataset/VQliMkNy,https://data.gov.tw/dataset/127110,真資料,1,1,,13,,json
高雄市現住原住民婚姻狀況,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/6/30 下午 09:45:50,https://odportal.tw/dataset/gyt3oe1N,https://data.gov.tw/dataset/155833,真資料,1,1,,14,,json
